Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population, total",SP.POP.TOTL,Gibraltar,GIB,27200,27709,33658,34245,34854,35494,36173,36858,37609,38471,39329,..
"Population, total",SP.POP.TOTL,Greece,GRC,10196792,10805808,10775971,10754679,10732882,10721582,10698599,10569207,10436882,10407351,10405134,..
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,56185,56186,56172,56023,56225,56367,56653,56661,56865,56836,..
"Population, total",SP.POP.TOTL,Grenada,GRD,99957,107451,115130,115438,115691,115981,116341,116688,116913,117081,117207,..
"Population, total",SP.POP.TOTL,Guam,GUM,138610,160065,164233,163490,162679,161808,162158,163730,165180,166506,167777,..
"Population, total",SP.POP.TOTL,Guatemala,GTM,9024773,11697592,16268760,16567357,16845685,17103803,17357325,17598650,17847877,18124838,18406359,..
"Population, total",SP.POP.TOTL,Guinea,GIN,6434374,8428832,12073030,12385659,12704774,13034346,13371183,13710513,14055137,14405468,14754785,..
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,973669,1234741,1831893,1877072,1922168,1967696,2013255,2058841,2105529,2153339,2201352,..
"Population, total",SP.POP.TOTL,Guyana,GUY,749894,764832,763548,768479,791556,807665,807481,815482,821637,826353,831087,..
"Population, total",SP.POP.TOTL,Haiti,HTI,6854441,8303151,10671457,10817754,10962362,11105163,11243848,11374586,11503606,11637398,11772557,..
"Population, total",SP.POP.TOTL,Honduras,HND,4980488,6577773,9412380,9588137,9765210,9943633,10119640,10289877,10463872,10644851,10825703,..
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,5704500,6665000,7336600,7393200,7452600,7507900,7481000,7413100,7346100,7536100,7524100,..
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10210971,9759755,9726756,9706964,9694824,9670419,9630932,9605074,9592186,9562065,..
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,281205,335439,343400,352721,360563,366463,372520,382003,385663,386506,..
"Population, total",SP.POP.TOTL,India,IND,864972221,1057922733,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,1450935791,..
"Population, total",SP.POP.TOTL,Indonesia,IDN,183501098,216077790,264627418,267346658,269951846,272489381,274814866,276758053,278830529,281190067,283487931,..
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,58380092,66418659,83812228,85026754,86117998,87051648,87723443,88455488,89524246,90608707,91567738,..
"Population, total",SP.POP.TOTL,Iraq,IRQ,17581206,24424056,38469627,39337353,40265624,41192171,42116605,43071211,44070551,45074049,46042015,..
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3805174,4762722,4827445,4898022,4976456,5039747,5110585,5212836,5311538,5395790,..
"Population, total",SP.POP.TOTL,Isle of Man,IMN,68916,75659,83466,83609,83805,83957,84064,84106,84132,84165,84160,..
"Population, total",SP.POP.TOTL,Israel,ISR,4660000,6289000,8546000,8713300,8882800,9054000,9215100,9371400,9557500,9849000,9974400,..
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,60115223,60002252,60148658,59729081,59438851,59133173,59013667,58984216,58952704,..
"Population, total",SP.POP.TOTL,Jamaica,JAM,2379877,2607826,2809915,2815764,2820097,2823271,2830739,2837682,2839144,2839786,2839175,..
"Population, total",SP.POP.TOTL,Japan,JPN,123478000,126843000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650,123975371,..
"Population, total",SP.POP.TOTL,Jordan,JOR,3621908,5386945,10006367,10234226,10462306,10671891,10865228,11066356,11256263,11439213,11552876,..
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17154054,15501103,18363600,18651931,18932727,19209555,19482117,19743603,20034609,20330104,20592571,..
"Population, total",SP.POP.TOTL,Kenya,KEN,22892651,30642890,48139687,49197766,50207107,51202827,52217334,53219166,54252461,55339003,56432944,..
"Population, total",SP.POP.TOTL,Kiribati,KIR,74855,88613,118478,120275,122084,123921,126099,128377,130469,132530,134518,..
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,21112137,23665910,25698326,25817709,25931147,26037632,26136312,26232534,26328845,26418204,26498823,..
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,42869283,47008111,51217803,51361911,51585058,51764822,51836239,51769539,51672569,51712619,51751065,..
"Population, total",SP.POP.TOTL,Kosovo,XKX,1973790,1802493,1777568,1791019,1797086,1788891,1790151,1786079,1768096,1682668,1594353,..
"Population, total",SP.POP.TOTL,Kuwait,KWT,1684819,1954709,4004096,4154812,4323515,4442316,4400267,4360865,4589643,4853420,4897263,..
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391236,4898362,6175338,6306696,6444079,6590211,6726596,6851224,6975220,7099750,7221868,..
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4311955,5431212,6908802,7018147,7128045,7237636,7346533,7453194,7559007,7664993,7769819,..
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1883710,1866124,..
"Population, total",SP.POP.TOTL,Lebanon,LBN,3595175,4329340,6323060,6160128,5984119,5794594,5702398,5718122,5744489,5773493,5805962,..
"Population, total",SP.POP.TOTL,Lesotho,LSO,1809696,2003913,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472,2337423,..
"Population, total",SP.POP.TOTL,Liberia,LBR,2223667,2928117,4755608,4848925,4944726,5043721,5149463,5259323,5373294,5493031,5612817,..
"Population, total",SP.POP.TOTL,Libya,LBY,4445239,5305021,6632126,6738770,6849055,6951033,7045399,7135175,7223805,7305659,7381023,..
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28742,32645,37716,37962,38246,38563,38901,39182,39493,39846,40450,..
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,2877325,2842639,2819200,2811089,2810369,2808380,2831639,2871585,2888278,..
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,582014,596336,607950,620001,630419,640064,653103,666430,677012,..
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,334950,430600,652500,648400,658900,672000,685400,682500,677300,678800,687000,..
"Population, total",SP.POP.TOTL,Madagascar,MDG,12055639,16516338,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932,31964956,..
"Population, total",SP.POP.TOTL,Malawi,MWI,9545852,11315942,17557739,18039715,18528081,19025752,19533888,20047258,20568728,21104482,21655286,..
"Population, total",SP.POP.TOTL,Malaysia,MYS,17833171,22967816,31789685,32355644,32910967,33440596,33889558,34282399,34695493,35126298,35557673,..
"Population, total",SP.POP.TOTL,Maldives,MDV,224762,282019,443308,458287,473099,487731,502118,516154,524106,525994,527799,..
"Population, total",SP.POP.TOTL,Mali,MLI,9178830,11559290,19191289,19813011,20442030,21068405,21713836,22388630,23072640,23769127,24478595,..
"Population, total",SP.POP.TOTL,Malta,MLT,354170,390087,454505,467106,483903,503912,515490,518150,531113,552747,568847,..
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,44629,50706,47709,46529,45285,44007,42706,41367,40077,38827,37548,..
"Population, total",SP.POP.TOTL,Mauritania,MRT,1951878,2613441,4086657,4210600,4337685,4467708,4600131,4734874,4875637,5022441,5169395,..
"Population, total",SP.POP.TOTL,Mauritius,MUS,1058775,1186873,1263747,1264887,1265577,1265985,1266014,1266334,1262523,1248647,1245779,..
"Population, total",SP.POP.TOTL,Mexico,MEX,82820170,98625552,122251351,123400057,124573711,125762982,126799054,127648148,128613117,129739759,130861007,..
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,100888,112044,109075,109481,109909,110282,110916,111624,112114,112630,113160,..
"Population, total",SP.POP.TOTL,Moldova,MDA,2977912,2924668,2803186,2755189,2707203,2664224,2635130,2595809,2528654,2457783,2402306,..
"Population, total",SP.POP.TOTL,Monaco,MCO,30358,32455,37276,37678,38154,38109,38050,38527,38931,38956,38631,..
"Population, total",SP.POP.TOTL,Mongolia,MNG,2098710,2388299,3088856,3148917,3208189,3267673,3327204,3383741,3433748,3481145,3524788,..
"Population, total",SP.POP.TOTL,Montenegro,MNE,606372,604950,625353,625982,626438,626753,626590,625053,623591,623529,623525,..
"Population, total",SP.POP.TOTL,Morocco,MAR,24375551,28423435,35023457,35446392,35839760,36210898,36584208,36954442,37329064,37712505,38081173,..
"Population, total",SP.POP.TOTL,Mozambique,MOZ,13094537,18129653,27337105,28166393,29018644,29884380,30783688,31707800,32656246,33635160,34631766,..
"Population, total",SP.POP.TOTL,Myanmar,MMR,39817251,45290841,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798,54500091,..
"Population, total",SP.POP.TOTL,Namibia,NAM,1369303,1818647,2439213,2506853,2577327,2650494,2728762,2810548,2889662,2963095,3030131,..
"Population, total",SP.POP.TOTL,Nauru,NRU,9622,10168,11150,11324,11477,11587,11643,11709,11801,11875,11947,..
"Population, total",SP.POP.TOTL,Nepal,NPL,19524573,24546509,27955462,28011258,28079689,28414064,28966574,29475010,29715436,29694614,29651054,..
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,17030314,17131296,17231624,17344874,17441500,17533044,17700982,17877117,17993485,..
"Population, total",SP.POP.TOTL,New Caledonia,NCL,176456,223098,283423,283546,283541,283606,284176,285214,287123,289870,292639,..
"Population, total",SP.POP.TOTL,New Zealand,NZL,3329800,3857700,4714100,4813600,4900600,4970300,5072400,5084600,5081700,5200000,5287500,..
